severity,issue,split,graph_id,source,project,contract,function,label,vulnerability_type,file,line,source_hash,state_count,external_call_count,external_methods,example_call,details
HIGH,negative_contains_strong_low_level_call_pattern,train,FORGE::vfp_00126::HubPool,FORGE,vfp_00126,HubPool,executeRootBundle,0,,,,fd5b7459c70c6fc0,3,2,delegatecall|safeTransfer,"adapter.delegatecall(                 abi.encodeWithSignature(                     ""relayMessage(address,bytes)"",",Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::SigRelayer2,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e,SigRelayer2,relayBySigsGST,0,,,,a48ee514dc5dce7b,2,2,call|call,"compToken.call(abi.encodeWithSignature(""delegateBySig(address,uint256,uint256,uint8,bytes32,bytes32)"", sig.delegatee, si",Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::SigRelayer2,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e,SigRelayer2,relayBySigs,0,,,,8ffbeabf85fccce2,2,2,call|call,"compToken.call(abi.encodeWithSignature(""delegateBySig(address,uint256,uint256,uint8,bytes32,bytes32)"", sig.delegatee, si",Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::TWAMM,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e,TWAMM,provideLiquidity,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/FPI/TWAMM.sol,L135-L136,a86551b578b57469,4,3,executeVirtualOrdersUntilCurrentBlock|transferFrom|transferFrom,longTermOrders.executeVirtualOrdersUntilCurrentBlock(reserveMap),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::CErc20Delegator,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e,CErc20Delegator,delegateAndReturn,0,,,,0be3439e924027b9,1,1,delegatecall,implementation.delegatecall(msg.data),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140::xMPH,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140,xMPH,_deposit,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol,L178,b4315d3d5a99d190,1,1,transferFrom,"mph.transferFrom(msg.sender, address(this), _mphAmount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140::xMPH,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140,xMPH,_withdraw,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol,L196,56d784677d69e62d,2,1,transfer,"mph.transfer(msg.sender, mphAmount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140::xMPH,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140,xMPH,_distributeReward,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol,L212,7909358e94693513,8,1,transferFrom,"mph.transferFrom(msg.sender, address(this), rewardAmount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-YieldV2/vault-v2-819a713416249da92c44eb629ed26a49425a4656::Ladle,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-YieldV2/vault-v2-819a713416249da92c44eb629ed26a49425a4656,Ladle,batch,0,,,,71b172c692ea01f9,1,1,delegatecall,address(this).delegatecall(calls[i]),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-YieldV2/vault-v2-819a713416249da92c44eb629ed26a49425a4656::TLMModule,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-YieldV2/vault-v2-819a713416249da92c44eb629ed26a49425a4656,TLMModule,register,0,,,,ff0af1bc7f7d6cdb,4,3,series|ilks|gem,cauldron.series(seriesId),Negative interaction contains low-level call/delegatecall/send/staticcall signal.
