synthetic_graph_id,synthetic_contract,synthetic_interaction_id,family,template_split,template_graph_id,template_interaction_id,template_function,call_method,state_variable,source_hash,label
SYNTH_REENTRANCY::00000::SyntheticReentrancy00000,SyntheticReentrancy00000,i:withdraw0,withdraw,train,DAPP::DAppSCAN-source/contracts/consensys-Gamma/hypervisor-41fd4abf79864478523e87924d4e80d80df04879::Hypervisor,i:withdraw,withdraw,call,balances0,713e9b92036f5e1a4eb085aa6f19759c5ba66519ab3c34482c6746eeffccc785,1
SYNTH_REENTRANCY::00001::SyntheticReentrancy00001,SyntheticReentrancy00001,i:claimReward1,claimReward,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::CurveV1Adapter,i:exchange,exchange,transfer,credits1,d0edbd8442445ea0989a28575563933ce2c70c6d2a00660be26d87ec19e71068,1
SYNTH_REENTRANCY::00002::SyntheticReentrancy00002,SyntheticReentrancy00002,i:refund2,refund,train,DAPP::DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db::MasterChef,i:balance,balance,send,pendingRewards2,0141c4020d534a1183cba362e21791fefa78b52f4910d19dbb7e2c2b4b2de5a3,1
SYNTH_REENTRANCY::00003::SyntheticReentrancy00003,SyntheticReentrancy00003,i:unstake3,unstake,test,FORGE::vfp_00058::LikwidMarginPosition,i:modify,modify,safeTransfer,withdrawalRequests3,493080573c76f79c221ef9e2b7351ae02242023cd800bd09dd31508e3859bdc9,1
SYNTH_REENTRANCY::00004::SyntheticReentrancy00004,SyntheticReentrancy00004,i:redeem4,redeem,train,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::HoldStake,i:addPool,addPool,transfer,shares4,624cdb893d72d926f0331ebfe37a3f2fe866fafa50073ca102086a7b6e97eb98,1
SYNTH_REENTRANCY::00005::SyntheticReentrancy00005,SyntheticReentrancy00005,i:payout5,payout,train,DAPP::DAppSCAN-source/contracts/PeckShield-Holdefi/Holdefi-5a1e6e0d582120142e8a531f6806eba6665ef2f4::Holdefi,i:repayBorrowInternal,repayBorrowInternal,call,stakes5,bf1f53448716249864e26cf420c51bb6a98d37ca629623732331c27f33732861,1
SYNTH_REENTRANCY::00006::SyntheticReentrancy00006,SyntheticReentrancy00006,i:release6,release,val,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,i:rebase,rebase,transfer,claims6,cbc20500d772db273e617097b187a624457d91184a7fdaa62f97fa029585232e,1
SYNTH_REENTRANCY::00007::SyntheticReentrancy00007,SyntheticReentrancy00007,i:exit7,exit,test,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::SkyRewardPool,i:withdraw,withdraw,send,escrowed7,45e43ff41895a1f67694de68d55dd9893b86d133cb51ce1d288281942467bb21,1
SYNTH_REENTRANCY::00008::SyntheticReentrancy00008,SyntheticReentrancy00008,i:claim8,claim,train,DAPP::DAppSCAN-source/contracts/Hacken-Ground Zero/code::IDO,i:claimTheInvestments,claimTheInvestments,safeTransfer,payouts8,d06a8367be7220839244d0453f8dbbaacef296cbf67df58d563fac6a5ccfedcd,1
SYNTH_REENTRANCY::00009::SyntheticReentrancy00009,SyntheticReentrancy00009,i:settle9,settle,val,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-ElementFinance/elf-contracts-637c6f959315cbb11a164555e588520c7d89122b::YVaultAssetProxy,i:reserveDeposit,reserveDeposit,transfer,positions9,6986858375bc0bfb86c42c96a05bc7213f71d33266328fe93fcf0ac72d78218f,1
