split,contract_id,source_path,function_name,source_span,interaction_id,review_priority,predicted_score,current_label,proposed_cleaned_label,vulnerability_type,safety_features_present,risk_evidence,protection_evidence,short_explanation,confidence,external_call_line,state_update_line,modifier_guard_evidence,code_snippet,review_source
train,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::HoldStake,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol,addPool,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/HoldStake.sol#L83-L99,i:addPool,top50_highest_score,0.9826690809161039,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call | very high model score,owner/access-control signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,,L9: pid++;,"L7: require(address(token) != address(0), ""Hold: Token address is zero""); | function addPool(
        IERC20 token,
        uint256 hardcap,
        uint256 preUserHardcap,
        uint256 apy
    ) external onlyOwner","1: function addPool(\n2:         IERC20 token,\n3:         uint256 hardcap,\n4:         uint256 preUserHardcap,\n5:         uint256 apy\n6:     ) external onlyOwner {\n7:         require(address(token) != address(0), ""Hold: Token address is zero"");\n8:         token.balanceOf(address(this)); //Check ERC20\n9:         pid++;\n10:         HoldPool storage holdPool = holdPools[pid];\n11:         holdPool.apy = apy;\n12:         holdPool.token = token;\n13:         holdPool.hardcap = hardcap;\n14:         holdPool.preUserHardcap = preUserHardcap;",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::OVM_StateTransitioner,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/verification/OVM_StateTransitioner.sol,applyTransaction,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/verification/OVM_StateTransitioner.sol#L323-L358,i:applyTransaction,,0.9340414227948417,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call | very high model score,require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,,L16: // This includes 1/64 of the gas getting lost because of EIP-150 (lost twice--first,L9: require(,"1: function applyTransaction(\n2:         Lib_OVMCodec.Transaction memory _transaction\n3:     )\n4:         override\n5:         public\n6:         onlyDuringPhase(TransitionPhase.PRE_EXECUTION)\n7:         contributesToFraudProof(preStateRoot, transactionHash)\n8:     {\n9:         require(\n10:             Lib_OVMCodec.hashTransaction(_transaction) == transactionHash,\n11:             ""Invalid transaction provided.""\n12:         );\n13: \n14:         // We require gas to complete the logic here in run() before/after execution,",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::veFXSYieldDistributorV4,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/Staking/veFXSYieldDistributorV4.sol,notifyRewardAmount,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/Staking/veFXSYieldDistributorV4.sol#L297-L322,i:notifyRewardAmount,,0.9226517940853814,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,"L7: emittedToken.safeTransferFrom(msg.sender, address(this), amount);",L14: yieldRate = amount.div(yieldDuration);,"L3: require(reward_notifiers[msg.sender], ""Sender not whitelisted"");","2:         // Only whitelisted addresses can notify rewards\n3:         require(reward_notifiers[msg.sender], ""Sender not whitelisted"");\n4: \n5:         // Handle the transfer of emission tokens via `transferFrom` to reduce the number\n6:         // of transactions required and ensure correctness of the smission amount\n7:         emittedToken.safeTransferFrom(msg.sender, address(this), amount);\n8: \n9:         // Update some values beforehand\n10:         sync();\n11: \n12:         // Update the new yieldRate\n13:         if (block.timestamp >= periodFinish) {\n14:             yieldRate = amount.div(yieldDuration);\n15:         } else {",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::NftEarnErc20Pool,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/NftEarnErc20Pool.sol,slotStake,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/pools/NftEarnErc20Pool.sol#L455-L483,i:slotStake,,0.8839830306911015,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions,external call present | callee appears user/attacker controlled | state update after external call,safe ERC20 wrapper signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,"L17: dsgNft.safeTransferFrom(msg.sender, address(this), tokenId);",L4: UserInfo storage user = userInfo[msg.sender];,"L2: require(tokenIds.length == MAX_LEVEL, ""token count not match"");","12:             uint256 tokenId = tokenIds[i];\n13:             LibPart.NftInfo memory info = dsgNft.getNft(tokenId);\n14:             require(info.level == i+1, ""nft level not match"");\n15: \n16:             totalPower = totalPower.add(info.power);\n17:             dsgNft.safeTransferFrom(msg.sender, address(this), tokenId);\n18:         }\n19:         user.slotNfts[slot] = tokenIds;\n20: \n21:         if (user.share > 0) {\n22:             harvest();\n23:         }\n24:         totalPower = totalPower.add(totalPower.mul(slotAdditionRate).div(10000));\n25:         user.share = user.share.add(totalPower);",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e::PerpetualManagerFront,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e/contracts/perpetualManager/PerpetualManagerFront.sol,openPerpetual,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e/contracts/perpetualManager/PerpetualManagerFront.sol#L75-L122,i:openPerpetual,,0.8643827315541897,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call,safe ERC20 wrapper signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,"L14: _token.safeTransferFrom(msg.sender, address(poolManager), margin);",L24: uint256 totalHedgeAmountUpdate = (committedAmount * rateUp) / _collatBase;,L8: // Transaction will revert anyway if `margin` is zero,"9:         require(committedAmount > 0, ""27"");\n10: \n11:         // There could be a reentrancy attack as a call to an external contract is done before state variables\n12:         // updates. Yet in this case, the call involves a transfer from the `msg.sender` to the contract which\n13:         // eliminates the risk\n14:         _token.safeTransferFrom(msg.sender, address(poolManager), margin);\n15: \n16:         // Computing the oracle value\n17:         // Only the highest oracle value (between Chainlink and Uniswap) we get is stored in the perpetual\n18:         (, uint256 rateUp) = _getOraclePrice();\n19:         // Checking if the oracle rate is not too big: a too big oracle rate could mean for a HA that the price\n20:         // has become too high to make it interesting to open a perpetual\n21:         require(rateUp <= maxOracleRate, ""28"");\n22: ",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-Holdefi/Holdefi-5a1e6e0d582120142e8a531f6806eba6665ef2f4::HoldefiSettings,DAppSCAN-source/contracts/PeckShield-Holdefi/Holdefi-5a1e6e0d582120142e8a531f6806eba6665ef2f4/contracts/HoldefiSettings.sol,setHoldefiContract,DAppSCAN-source/contracts/PeckShield-Holdefi/Holdefi-5a1e6e0d582120142e8a531f6806eba6665ef2f4/contracts/HoldefiSettings.sol#L196-L202,i:setHoldefiContract,,0.8392397325650528,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call,owner/access-control signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,,L6: holdefiContract = holdefiContractAddress;,"L2: require (holdefiContractAddress.holdefiSettings() == address(this), | function setHoldefiContract(HoldefiInterface holdefiContractAddress) external onlyOwner","1: function setHoldefiContract(HoldefiInterface holdefiContractAddress) external onlyOwner {\n2: 		require (holdefiContractAddress.holdefiSettings() == address(this),\n3: 			""Conflict with Holdefi contract address""\n4: 		);\n5: 		require (address(holdefiContract) == address(0), ""Should be set once"");\n6: 		holdefiContract = holdefiContractAddress;\n7: 	}",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295::yDelegatedVault,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yDelegatedVault.sol,claimInsurance,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yDelegatedVault.sol#L168-L172,i:claimInsurance,,0.8359612527452165,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call,safe ERC20 wrapper signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,"L3: token.safeTransfer(controller, insurance);",L4: insurance = 0;,"L2: require(msg.sender == controller, ""!controller"");","1: function claimInsurance() external {\n2:         require(msg.sender == controller, ""!controller"");\n3:         token.safeTransfer(controller, insurance);\n4:         insurance = 0;\n5:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::GovernorV1,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/governance/GovernorV1.sol,propose,DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919/contracts/governance/GovernorV1.sol#L123-L192,i:propose,,0.8244230876180815,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call,require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,,L21: uint256 latestProposalId = latestProposalIds[msg.sender];,L8: require(,"1: function propose(\n2:         address[] memory targets,\n3:         uint256[] memory values,\n4:         string[] memory signatures,\n5:         bytes[] memory calldatas,\n6:         string memory description\n7:     ) public returns (uint256) {\n8:         require(\n9:             token.getPriorVotes(msg.sender, sub256(block.number, 1)) > proposalThreshold(),\n10:             ""GovernorV1::propose: proposer votes below proposal threshold""\n11:         );\n12:         require(\n13:             targets.length == values.length &&\n14:             targets.length == signatures.length &&",phase1b_packet
val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::GFSBonus,DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5/contract/GFSBonus.sol,withdraw,DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5/contract/GFSBonus.sol#L185-L207,i:withdraw,,0.9250694970369738,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions,external call present | callee appears user/attacker controlled | state update after external call | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,"L15: gfsToken.safeTransfer(address(msg.sender), _amount);",L2: UserInfo storage user = userInfo[msg.sender];,"L3: require(user.amount >= _amount, ""withdraw: not good"");","10:         if (pending > 0) {\n11:             sendWithdraw(msg.sender, pending);\n12:         }\n13:         if (_amount > 0) {\n14:             user.amount = user.amount.sub(_amount);\n15:             gfsToken.safeTransfer(address(msg.sender), _amount);\n16:         }\n17:         user.rewardDebt = user.amount.mul(accMintPerShare).div(1e12);\n18:         totalRewardDebt = totalRewardDebt.sub(oldRewardDebt).add(\n19:             user.rewardDebt\n20:         );\n21:         totalAmount = totalAmount.sub(oldAmount).add(user.amount);\n22:         emit Withdraw(msg.sender, _amount);\n23:     }",phase1b_packet
val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::AlianaSale,DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5/contract/AlianaSale.sol,withdrawOwnerCutSale,DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5/contract/AlianaSale.sol#L68-L77,i:withdrawOwnerCutSale,,0.8991942736185333,0,confirmed_positive_reentrancy,reentrancy,state_update_after_external_call|require_assert_guard_before_call|callee_user_controlled,external call present | callee appears user/attacker controlled | state update after external call,require/assert/revert guard before call,External/user-controlled call with state update after call and no effective reentrancy guard detected.,medium,,L9: cutedSaleBalance = cutedSaleBalance.sub(num);,"L2: require(num <= cutedSaleBalance, ""AlianaSale: num <= cutedSaleBalance"");","1: function withdrawOwnerCutSale(uint256 num) external onlyCLevel {\n2:         require(num <= cutedSaleBalance, ""AlianaSale: num <= cutedSaleBalance"");\n3: \n4:         require(\n5:             gaeToken.transferFrom(address(this), msg.sender, num),\n6:             ""AlianaSale: failed to transfer gae token""\n7:         );\n8: \n9:         cutedSaleBalance = cutedSaleBalance.sub(num);\n10:     }",phase1b_packet
