kind,severity,description,example_key,examples
same_contract_graph_id,NONE,No graph_id values appear in multiple splits.,,
same_project_id,NONE,No project values appear in multiple splits.,,
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,4dae08a32cb7,"{""source_hash"": ""4dae08a32cb7"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Migrations::upgrade[y=0] ; train:DAPP::DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9::Migrations::upgrade[y=0] ; train:DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::Migrations::upgrade[y=0] ; train:DAPP::DAppSCAN-source/contracts/SlowMist-CFFv2 Smart Contract Security Audit Report/cff-contract-v2-c86bef3f13c7585f547f9cd0ca900f94664e96b7::Migrations::upgrade[y=0] ; train:DAPP::DAppSCAN-source/contracts/consensys-MCDEX_Mai_Protocol_V2/mai-protocol-v2-4b198083ec4ae2d6851e101fc44ea333eaa3cd92::Migrations::upgrade[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Buffer/code::Migrations::upgrade[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,25e5dc8ca7a8,"{""source_hash"": ""25e5dc8ca7a8"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::GovernorAlpha::_queueOrRevert[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::_queueOrRevert[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::_queueOrRevert[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::_queueOrRevert[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::_queueOrRevert[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlpha::_queueOrRevert[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,f36a4485c188,"{""source_hash"": ""f36a4485c188"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::GovernorAlpha::state[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::state[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::state[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::state[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::state[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlpha::state[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,2ab9e2588309,"{""source_hash"": ""2ab9e2588309"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::GovernorAlpha::__acceptAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::__acceptAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::__acceptAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::__acceptAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::__acceptAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/QuillAudits-Bond Appetit-Bond Appetit/bondappetit-protocol-355180f0aca0b29d60d808f761052956b7a3a159::GovernorAlpha::__acceptAdmin[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,f6590a8bded6,"{""source_hash"": ""f6590a8bded6"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::GovernorAlpha::__queueSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::__queueSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::__queueSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::__queueSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::__queueSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlpha::__queueSetTimelockPendingAdmin[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,03f5a9f4fae1,"{""source_hash"": ""03f5a9f4fae1"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::GovernorAlpha::__executeSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::__executeSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::__executeSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::__executeSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::__executeSetTimelockPendingAdmin[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlpha::__executeSetTimelockPendingAdmin[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,c4a9b8a32556,"{""source_hash"": ""c4a9b8a32556"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::FRAX3CRV_Curve_FXS_Distributor::getReward[y=0] ; test:DAPP::DAppSCAN-source/contracts/PeckShield-btdotfinance/bt-finance-6300bc1271b73a1755fae02594d25fdf6fa39a9c::StakingRewards::getReward[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,11ac38063790,"{""source_hash"": ""11ac38063790"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::FRAX3CRV_Curve_FXS_Distributor::withdraw[y=0] ; test:DAPP::DAppSCAN-source/contracts/PeckShield-btdotfinance/bt-finance-6300bc1271b73a1755fae02594d25fdf6fa39a9c::StakingRewards::withdraw[y=0]""}"
