split,contract_id,source_path,function_name,source_span,interaction_id,review_priority,predicted_score,current_label,proposed_cleaned_label,vulnerability_type,safety_features_present,risk_evidence,protection_evidence,short_explanation,confidence,external_call_line,state_update_line,modifier_guard_evidence,code_snippet,review_source
train,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Distribution,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol,claim,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Distribution.sol#L109-L147,i:claim,top50_highest_score|top50_weak_or_no_safety,0.986448525385967,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | very high model score,require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L36: tngToken.transfer(_msgSender(), tokenQuantity);",L2: Account storage userAccount = accounts[_msgSender()];,"L4: require(tokenAllocation > 0, ""Nothing to claim"");","31: \n32:         //For tracking\n33:         totalPendingVestingToken = totalPendingVestingToken.sub(tokenQuantity);\n34: \n35:         //Release token\n36:         tngToken.transfer(_msgSender(), tokenQuantity);\n37: \n38:         emit Claimed(_msgSender(), tokenQuantity);\n39:     }",phase1b_packet
train,FORGE::vfp_00122::TroveManager,TroveManager.sol,_updateSystemSnapshots_excludeCollRemainder,TroveManager.sol#L1062-L1068,i:_updateSystemSnapshots_excludeCollRemainder,top50_highest_score,0.9723386897386972,0,insufficient_evidence,reentrancy,state_update_before_external_call|state_update_after_external_call|callee_user_controlled|contract_many_risky_interactions|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | state update after external call | very high model score,,No decisive risk/protection evidence was recovered from the available snippet.,low,,L2: totalStakesSnapshot = totalStakes;,,"1: function _updateSystemSnapshots_excludeCollRemainder(IActivePool _activePool, uint256 _collRemainder) internal {\n2:         totalStakesSnapshot = totalStakes;\n3: \n4:         uint256 activeColl = _activePool.getCollBalance();\n5:         uint256 liquidatedColl = defaultPool.getCollBalance();\n6:         totalCollateralSnapshot = activeColl - _collRemainder + liquidatedColl;\n7:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::ILO,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/ILO.sol,deposit,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/ILO.sol#L90-L106,i:deposit,top50_highest_score,0.9650959340812876,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary,external call present | callee appears user/attacker controlled | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L13: pool.lpToken.safeTransferFrom(address(msg.sender), address(this), _amount);",L3: PoolInfo storage pool = poolInfo[_pid];,"L5: require(block.number >= startBlock, ""ILO not begin"");","8: \n9:         //if (_amount > 0) {\n10:             user.amount = user.amount.add(_amount);\n11:             user.lastTime = block.timestamp;\n12:             pool.totalAmount = pool.totalAmount.add(_amount);\n13:             pool.lpToken.safeTransferFrom(address(msg.sender), address(this), _amount);\n14:         //}\n15: \n16:         emit Deposit(msg.sender, _pid, _amount);\n17:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-BNPL/BNPL-0ee587a081668dcab166a3a275b8a6c4794ead4d::BNPLRewardsController,DAppSCAN-source/contracts/PeckShield-BNPL/BNPL-0ee587a081668dcab166a3a275b8a6c4794ead4d/contracts/BNPLRewardsController.sol,withdraw,DAppSCAN-source/contracts/PeckShield-BNPL/BNPL-0ee587a081668dcab166a3a275b8a6c4794ead4d/contracts/BNPLRewardsController.sol#L191-L213,i:withdraw,top50_highest_score|top50_weak_or_no_safety,0.9641992293720776,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|safe_erc20_wrapper,external call present | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,"Some protection evidence exists, but it is not enough to confidently keep or flip the label.",medium,"L20: TransferHelper.safeTransfer(address(pool.lpToken), msg.sender, _amount);",L2: PoolInfo storage pool = poolInfo[_pid];,L6: revert InsufficientUserBalance(user.amount);,"15:         user.rewardDebt = (user.amount * pool.accBnplPerShare) / 1e12;\n16: \n17:         if (pending > 0) {\n18:             safeBnplTransfer(msg.sender, pending);\n19:         }\n20:         TransferHelper.safeTransfer(address(pool.lpToken), msg.sender, _amount);\n21: \n22:         emit Withdraw(msg.sender, _pid, _amount);\n23:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e::StableMasterFront,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e/contracts/stableMaster/StableMasterFront.sol,revokeCollateral,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e/contracts/stableMaster/StableMasterFront.sol#L353-L395,i:revokeCollateral,top50_highest_score,0.9622940683625312,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions|contract_modifier_access_summary|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | very high model score,owner/access-control signal | safe ERC20 wrapper signal | require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L35: col.token.safeTransferFrom(address(poolManager), address(settlementContract), balance);",L8: uint256 managerListLength = _managerList.length;,"L9: require(managerListLength >= 1, ""10""); | function revokeCollateral(IPoolManager poolManager, ICollateralSettler settlementContract)
        external
        onlyRole(GOVERNOR_ROLE)","30:         // No need to pause `SLP` and `STABLE_HOLDERS` as deleting the entry associated to the `poolManager`\n31:         // in the `collateralMap` will make everything revert\n32: \n33:         // Transferring the whole balance to global settlement\n34:         uint256 balance = col.token.balanceOf(address(poolManager));\n35:         col.token.safeTransferFrom(address(poolManager), address(settlementContract), balance);\n36: \n37:         // Settlement works with a fixed oracle value for HAs, it needs to be computed here\n38:         uint256 oracleValue = col.oracle.readLower();\n39:         // Notifying the global settlement contract with the properties of the contract to settle\n40:         // In case of global shutdown, there would be one settlement contract per collateral type\n41:         // Not using the `lockedInterests` to update the value of the sanRate\n42:         settlementContract.triggerSettlement(oracleValue, col.sanRate, col.stocksUsers);\n43:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Inspex-Optimized Worker/bsc-alpaca-contract-1aee2ceec77e3fd3162b74858c846cdc5692928d::WexMaster,DAppSCAN-source/contracts/Inspex-Optimized Worker/bsc-alpaca-contract-1aee2ceec77e3fd3162b74858c846cdc5692928d/contracts/6.12/protocol/apis/wault/WexMaster.sol,withdraw,DAppSCAN-source/contracts/Inspex-Optimized Worker/bsc-alpaca-contract-1aee2ceec77e3fd3162b74858c846cdc5692928d/contracts/6.12/protocol/apis/wault/WexMaster.sol#L150-L175,i:withdraw,top50_highest_score,0.9599553634838434,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary,external call present | callee appears user/attacker controlled | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L22: pool.lpToken.safeTransfer(address(msg.sender), _amount);",L6: PoolInfo storage pool = poolInfo[_pid];,"L8: require(user.amount >= _amount, ""withdraw: not good"");","17:         user.pendingRewards = 0;\n18:       }\n19:     }\n20:     if (_amount > 0) {\n21:       user.amount = user.amount.sub(_amount);\n22:       pool.lpToken.safeTransfer(address(msg.sender), _amount);\n23:     }\n24:     user.rewardDebt = user.amount.mul(pool.accWexPerShare).div(1e12);\n25:     emit Withdraw(msg.sender, _pid, _amount);\n26:   }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129::WexMaster,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6.12/protocol/apis/wault/WexMaster.sol,withdraw,DAppSCAN-source/contracts/Inspex-SpookySwap Integration & Fantom Expansion/bsc-alpaca-contract-4553a34a6dcfcfbf7aebc693bb5c5c6074c73129/contracts/6.12/protocol/apis/wault/WexMaster.sol#L150-L175,i:withdraw,top50_highest_score,0.9599535670927349,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|safe_erc20_wrapper|contract_modifier_access_summary,external call present | callee appears user/attacker controlled | very high model score,safe ERC20 wrapper signal | require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L22: pool.lpToken.safeTransfer(address(msg.sender), _amount);",L6: PoolInfo storage pool = poolInfo[_pid];,"L8: require(user.amount >= _amount, ""withdraw: not good"");","17:         user.pendingRewards = 0;\n18:       }\n19:     }\n20:     if (_amount > 0) {\n21:       user.amount = user.amount.sub(_amount);\n22:       pool.lpToken.safeTransfer(address(msg.sender), _amount);\n23:     }\n24:     user.rewardDebt = user.amount.mul(pool.accWexPerShare).div(1e12);\n25:     emit Withdraw(msg.sender, _pid, _amount);\n26:   }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::Staking,DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37/staking.sol,rewardWithdraw,DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37/staking.sol#L394-L399,i:rewardWithdraw,top50_highest_score,0.9565679238433863,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|only_owner_or_access_control|callee_user_controlled|safe_erc20_wrapper|contract_many_risky_interactions|contract_modifier_access_summary,external call present | callee appears user/attacker controlled | very high model score,owner/access-control signal | safe ERC20 wrapper signal | require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,"L4: rewardToken.safeTransfer(divPoolAddress, balance);",L3: uint256 balance = rewardToken.balanceOf(address(this));,"L2: require(endBlock <= block.number + 288000, ""It too early to withdraw reward tokens""); //10 days | function rewardWithdraw() public onlyOwner","1: function rewardWithdraw() public onlyOwner {\n2:         require(endBlock <= block.number + 288000, ""It too early to withdraw reward tokens""); //10 days\n3:         uint256 balance = rewardToken.balanceOf(address(this));\n4:         rewardToken.safeTransfer(divPoolAddress, balance);\n5:         emit RewardWithdraw(msg.sender, balance);\n6:     }",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Indexer,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607/source/indexer/contracts/Indexer.sol,setIntent,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607/source/indexer/contracts/Indexer.sol#L151-L189,i:setIntent,top50_weak_or_no_safety,0.9422066723979963,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | very high model score,require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,,L35: uint256 oldStake = indexes[signerToken][senderToken].getScore(msg.sender);,"L10: require(ILocatorWhitelist(locatorWhitelist).has(locator),","1: function setIntent(\n2:     address signerToken,\n3:     address senderToken,\n4:     uint256 stakingAmount,\n5:     bytes32 locator\n6:   ) external notPaused indexExists(signerToken, senderToken) {\n7: \n8:     // If whitelist set, ensure the locator is valid.\n9:     if (locatorWhitelist != address(0)) {\n10:       require(ILocatorWhitelist(locatorWhitelist).has(locator),\n11:       ""LOCATOR_NOT_WHITELISTED"");\n12:     }\n13: \n14:     // Ensure neither of the tokens are blacklisted.",phase1b_packet
train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::OVM_BondManager,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/verification/OVM_BondManager.sol,deposit,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/verification/OVM_BondManager.sol#L132-L140,i:deposit,,0.9386733816600221,0,ambiguous_quarantine,reentrancy,require_assert_guard_before_call|callee_user_controlled|contract_inheritance_modifier_summary,external call present | callee appears user/attacker controlled | very high model score,require/assert/revert guard before call,Guard-before-call exists but does not prove reentrancy safety against a high-scoring attacker-controlled call.,low,,L8: bonds[msg.sender].state = State.COLLATERALIZED;,L2: require(,"1: function deposit() override public {\n2:         require(\n3:             token.transferFrom(msg.sender, address(this), requiredCollateral),\n4:             Errors.ERC20_ERR\n5:         );\n6: \n7:         // This cannot overflow\n8:         bonds[msg.sender].state = State.COLLATERALIZED;\n9:     }",phase1b_packet
